GL_account,GL_account_description,account_id,partition_ledger_year_month,amount_usd
59610,"JPMorgan Chase, Sydney",777808,202404,135257.83
59610,"JPMorgan Chase, Sydney",777808,202405,164669.17
59610,"JPMorgan Chase, Sydney",777808,202406,-230131.9
112010,JP Morgan - USD,777809,202001,-226149.36
112010,JP Morgan - USD,777809,202002,-61721.92
112010,JP Morgan - USD,777809,202003,-2599.11
112010,JP Morgan - USD,777809,202004,-47430.12
112010,JP Morgan - USD,777809,202005,25035775.56
112010,JP Morgan - USD,777809,202006,41881.65
112010,JP Morgan - USD,777809,202007,54262.82
112010,JP Morgan - USD,777809,202008,19797.15
112010,JP Morgan - USD,777809,202009,6863.12
112010,JP Morgan - USD,777809,202010,-72662.03
112010,JP Morgan - USD,777809,202011,-41275.76
112010,JP Morgan - USD,777809,202012,-55928.44
112010,JP Morgan - USD,777809,202101,112.79
112010,JP Morgan - USD,777809,202102,-104921.27
112010,JP Morgan - USD,777809,202103,29961.9
112010,JP Morgan - USD,777809,202104,26647675.7
112010,JP Morgan - USD,777809,202105,-26554086.94
112010,JP Morgan - USD,777809,202106,1.10E-08
112010,JP Morgan - USD,777809,202107,1000
112010,JP Morgan - USD,777809,202108,-35780.75
112010,JP Morgan - USD,777809,202109,-42136.2
112010,JP Morgan - USD,777809,202110,-1.40E-11
112010,JP Morgan - USD,777809,202111,15526.8
112010,JP Morgan - USD,777809,202112,49017.12
112010,JP Morgan - USD,777809,202201,0
112010,JP Morgan - USD,777809,202202,0
112010,JP Morgan - USD,777809,202203,8285
112010,JP Morgan - USD,777809,202204,0
112010,JP Morgan - USD,777809,202205,140499.06
112010,JP Morgan - USD,777809,202206,-333809.5
112010,JP Morgan - USD,777809,202207,265558.91
112010,JP Morgan - USD,777809,202208,-104445.76
112010,JP Morgan - USD,777809,202209,-56427.05
112010,JP Morgan - USD,777809,202210,57925.13
112010,JP Morgan - USD,777809,202211,100016724.4
112010,JP Morgan - USD,777809,202212,-75202.28
112010,JP Morgan - USD,777809,202301,0.079999991
112010,JP Morgan - USD,777809,201802,-0.139999993
112010,JP Morgan - USD,777809,202303,-859.51
112010,JP Morgan - USD,777809,202304,859.8
112010,JP Morgan - USD,777809,202305,0.040000002
112010,JP Morgan - USD,777809,202306,-0.029999971
112010,JP Morgan - USD,777809,201807,71785.24
112010,JP Morgan - USD,777809,202308,-43495.21
112010,JP Morgan - USD,777809,202309,-0.019999921
112010,JP Morgan - USD,777809,202310,-272992.57
112010,JP Morgan - USD,777809,202311,278383.05
112010,JP Morgan - USD,777809,202312,97096.09
112010,JP Morgan - USD,777809,202401,0.119999973
112010,JP Morgan - USD,777809,202402,-0.199999988
112010,JP Morgan - USD,777809,202403,-1001.94
112010,JP Morgan - USD,777809,202404,-0.00999999
112010,JP Morgan - USD,777809,202405,300000
112010,JP Morgan - USD,777809,202406,45.68000001
112010,JP Morgan - USD,777818,202001,21483382.13
112010,JP Morgan - USD,777818,202002,18808775.07
112010,JP Morgan - USD,777818,202003,11122856.22
112010,JP Morgan - USD,777818,202004,19445027.5
112010,JP Morgan - USD,777818,202005,19810598.43
112010,JP Morgan - USD,777818,202006,36265414.95
112010,JP Morgan - USD,777818,202007,9092067.56
112010,JP Morgan - USD,777818,202008,1126154.82
112010,JP Morgan - USD,777818,202009,24334276.33
112010,JP Morgan - USD,777818,202010,13860103.99
112010,JP Morgan - USD,777818,202011,6902804.12
112010,JP Morgan - USD,777818,202012,23066857.8
112010,JP Morgan - USD,777818,202101,12431746.43
112010,JP Morgan - USD,777818,202102,12634650.97
112010,JP Morgan - USD,777818,202103,7406938.06
112010,JP Morgan - USD,777818,202104,7927076.98
112010,JP Morgan - USD,777818,202105,-7686602.92
112010,JP Morgan - USD,777818,202106,12889394.96
112010,JP Morgan - USD,777818,202107,4877319.04
112010,JP Morgan - USD,777818,202108,50133307.97
112010,JP Morgan - USD,777818,202109,-36127472.76
112010,JP Morgan - USD,777818,202110,9082248.43
112010,JP Morgan - USD,777818,202111,342104.18
112010,JP Morgan - USD,777818,202112,13680941.94
112010,JP Morgan - USD,777818,202201,-6192915.67
112010,JP Morgan - USD,777818,202202,5176999.15
112010,JP Morgan - USD,777818,202203,854881.43
112010,JP Morgan - USD,777818,202204,-147435.25
112010,JP Morgan - USD,777818,202205,-178789.87
112010,JP Morgan - USD,777818,202206,-3777788.67
112010,JP Morgan - USD,777818,202207,2070450.41
112010,JP Morgan - USD,777818,202208,-13946.94
112010,JP Morgan - USD,777818,202209,-648694.8
112010,JP Morgan - USD,777818,202210,-210053.54
112010,JP Morgan - USD,777818,202211,-3731.13
112010,JP Morgan - USD,777818,202212,1806.29
112010,JP Morgan - USD,777818,202301,-134038.13
112010,JP Morgan - USD,777818,201802,-314660.36
112010,JP Morgan - USD,777818,202303,13860
112010,JP Morgan - USD,777818,202304,4657.26
112010,JP Morgan - USD,777818,202305,-181348.93
112010,JP Morgan - USD,777818,202306,32714.91
112010,JP Morgan - USD,777818,201807,65489.14
112010,JP Morgan - USD,777818,202308,80316.72
112010,JP Morgan - USD,777818,202309,787439.38
112010,JP Morgan - USD,777818,202310,251635.02
112010,JP Morgan - USD,777818,202311,4698074.61
112010,JP Morgan - USD,777818,202312,-27401.32
112010,JP Morgan - USD,777818,202401,-8513960.69
112010,JP Morgan - USD,777818,202402,24784.91
112010,JP Morgan - USD,777818,202403,-5082559.93
112010,JP Morgan - USD,777818,202404,3018.25
112010,JP Morgan - USD,777818,202405,77352.65
112010,JP Morgan - USD,777818,202406,127969.52
59610,"JPMorgan Chase, Sydney",784028,202001,-8465030.29
59610,"JPMorgan Chase, Sydney",784028,202002,20199558.67
59610,"JPMorgan Chase, Sydney",784028,202003,99094426.93
59610,"JPMorgan Chase, Sydney",784028,202004,-45785916.95
59610,"JPMorgan Chase, Sydney",784028,202005,81568604.58
59610,"JPMorgan Chase, Sydney",784028,202006,-70299020.55
59610,"JPMorgan Chase, Sydney",784028,202007,-14677670.37
59610,"JPMorgan Chase, Sydney",784028,202008,-10105187.85
59610,"JPMorgan Chase, Sydney",784028,202009,205851643.9
59610,"JPMorgan Chase, Sydney",784028,202010,-179486761.2
